Ymd,hhmm,g_n,g_s,a,R_n,R_s,Rr,obs,KN,KS
1976-05-31,21:07,89,-126,0,111,-92,0,19,0,0
1976-06-10,21:07,99,-121,1,109,-92,10,19,0,10
1976-06-20,21:07,107,-114,0,108,-93,29,19,29,0
1976-06-30,21:07,117,-107,0,106,-93,9,10,0,9
1976-07-10,21:07,119,-99,0,105,-93,0,6,0,0
1976-07-20,21:07,128,-97,0,104,-94,0,6,0,0
1976-07-30,21:07,135,-94,0,103,-94,0,10,0,0
1976-08-19,21:07,118,-80,0,100,-95,27,10,0,27
1976-08-29,21:07,117,-66,0,99,-95,8,19,8,0
1976-09-08,21:07,121,-62,0,98,-96,9,19,9,0
1976-09-28,21:07,129,-62,0,97,-96,14,10,7,7
1976-10-08,21:07,122,-67,0,96,-97,0,10,0,0
1976-10-18,21:07,113,-69,0,95,-97,16,19,0,16
1976-11-17,21:07,88,-95,0,93,-98,7,10,7,0
1976-11-27,21:07,86,-107,0,92,-98,9,19,9,0
1976-12-27,21:07,75,-111,0,90,-99,16,6,0,16
1977-01-06,21:07,58,-112,1,90,-99,9,6,9,0
1977-01-16,21:07,52,-97,0,89,-99,13,9,0,13
1977-02-15,21:07,55,-112,0,88,-100,47,10,24,23
1977-03-07,21:07,53,-139,0,88,-100,7,6,7,0
1977-03-17,21:07,62,-134,1,87,-101,8,6,0,8
1977-04-06,21:07,61,-132,1,87,-101,7,6,7,0
1977-04-16,21:07,60,-136,0,87,-102,19,9,0,19
1977-04-26,21:07,69,-124,0,87,-102,9,19,0,9
1977-05-06,21:07,76,-115,1,86,-103,22,10,22,0
1977-05-16,21:07,84,-119,0,86,-103,21,10,0,21
1977-05-26,21:07,93,-123,1,86,-104,7,10,7,0
1977-06-05,21:07,98,-116,0,86,-104,41,6,19,22
1977-06-15,21:07,96,-109,0,86,-105,9,10,0,9
1977-06-25,21:07,104,-103,1,86,-106,75,10,47,28
1977-07-25,21:07,112,-84,2,86,-107,38,10,25,13
1977-08-04,21:07,113,-82,0,86,-108,11,10,11,0
1977-08-14,21:07,115,-66,1,86,-109,55,10,55,0
1977-08-24,21:07,107,-67,1,86,-109,22,10,9,13
1977-09-03,21:07,110,-67,0,86,-110,30,6,30,0
1977-09-13,21:07,109,-71,0,87,-110,55,19,55,0
1977-10-03,21:07,113,-71,2,87,-111,73,19,63,10
1977-10-13,21:07,117,-68,2,87,-111,60,10,54,6
1977-10-23,21:07,115,-72,0,87,-112,27,10,0,27
1977-11-02,21:07,108,-82,1,88,-112,37,10,25,12
1977-11-12,21:07,106,-92,0,88,-112,40,19,19,21
1977-11-22,21:07,106,-95,1,88,-112,26,10,26,0
1977-12-02,21:07,104,-103,1,88,-112,20,10,7,13
1977-12-22,21:07,80,-118,1,89,-111,21,10,21,0
1978-01-01,21:07,56,-129,3,89,-111,110,6,55,55
1978-01-31,21:07,52,-146,2,89,-110,119,6,65,54
1978-03-02,21:07,50,-158,1,89,-107,104,10,65,39
1978-03-12,21:07,49,-157,2,89,-107,115,6,67,48
1978-03-22,21:07,54,-157,2,89,-106,108,10,61,47
1978-04-01,21:07,55,-149,2,88,-105,69,19,45,24
1978-04-11,21:07,50,-151,3,88,-104,136,10,72,64
1978-05-31,21:07,86,-112,4,85,-98,117,19,66,51
1978-06-20,21:07,99,-93,4,84,-95,140,10,95,45
1978-06-30,21:07,104,-70,3,83,-94,99,10,69,30
1978-07-10,21:07,115,-71,2,82,-92,100,10,53,47
1978-07-20,21:07,114,-58,1,81,-91,65,10,40,25
1978-07-30,21:07,109,-46,1,80,-89,34,19,25,9
1978-08-09,21:07,114,-42,2,79,-88,54,10,16,38
1978-08-19,21:07,118,-47,1,78,-86,34,19,18,16
1978-08-29,21:07,117,-42,3,77,-85,65,10,40,25
1978-09-08,21:07,113,-36,1,76,-84,139,9,53,86
1978-09-18,21:07,117,-34,0,75,-82,97,9,53,44
1978-10-08,21:07,105,-32,1,73,-79,91,6,29,62
1978-10-28,21:07,106,-44,1,70,-76,133,19,63,70
1978-11-07,21:07,107,-46,0,69,-75,90,10,20,70
1978-11-17,21:07,84,-49,3,68,-73,89,10,31,58
1978-12-07,21:07,65,-64,1,66,-70,142,10,33,109
1978-12-27,21:07,46,-74,1,64,-68,117,6,63,54
1979-01-06,21:07,42,-95,0,63,-66,186,6,69,117
1979-01-16,21:07,14,-102,0,62,-65,193,10,104,89
1979-01-26,21:07,13,-89,3,60,-63,225,19,89,136
1979-02-25,21:07,-9,-99,2,57,-59,107,19,31,76
1979-03-07,21:07,-6,-98,2,55,-58,161,10,68,93
1979-03-17,21:07,-0,-106,1,54,-57,122,10,53,69
1979-04-16,21:07,-3,-83,3,50,-53,127,10,104,23
1979-04-26,21:07,-2,-78,2,49,-52,100,19,61,39
1979-05-06,21:07,-1,-67,2,47,-51,123,6,80,43
1979-05-16,21:07,27,-63,0,46,-50,168,10,111,57
1979-05-26,21:07,37,-64,0,44,-48,96,9,44,52
